images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images\drink.jpg,drink,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,165,165,117,448.837566018,9.30111855268E-06,449.554828076,0.717272000969,,,,,z,1,0.7003276865,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\leaf01a.jpg,leaf,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,166,166,68,450.658538596,9.30111855268E-06,451.23860498,0.580076005892,,,,,z,1,0.567020182381,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\mitten01.jpg,mitten,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,167,167,102,452.359674514,9.30111855268E-06,453.2058235,0.846158607746,,,,,z,1,0.833792346762,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\hairband.jpg,hairband,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,168,168,66,454.315287857,9.62184276432E-06,455.00630228,0.691024365951,,,,,z,1,0.667075700127,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\snowman.jpg,globe,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,169,169,180,456.117092522,9.30111855268E-06,456.806770798,0.689687576843,,,,,x,1,0.667063191766,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\magnifyingglass01b.jpg,magnifying glass,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,170,170,64,457.91500581,8.65967012942E-06,458.724099632,0.809103443753,,,,,z,1,0.800568263629,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\hanger02a.jpg,hanger,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,171,171,88,459.819818924,9.30100213736E-06,461.324664624,1.50485596317,,,,,z,1,1.48396093678,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lock02a.jpg,lock,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,172,172,65,462.43930936,9.30111855268E-06,463.141822158,0.702523061074,,,,,z,1,0.68365887634,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\pineapple01a.jpg,pineapple,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,173,173,51,464.254947611,9.62184276432E-06,464.875612227,0.620674558915,,,,,z,1,0.600383460871,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cocktailshrimp01.jpg,cocktail shrimp,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,174,174,30,465.989835528,8.98027792573E-06,466.826131789,0.836306523648,,,,,z,1,0.817107820883,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\bandaid01.jpg,door handle,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,175,175,170,467.933631695,8.98039434105E-06,468.976713314,1.04309092055,,,,,x,1,1.0338424443,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\envelope02a.jpg,grand piano,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,176,176,182,470.099378784,9.62184276432E-06,471.627423291,1.5280554113,,,,,x,1,1.51730048144,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\ceilingfan02.jpg,paper clip,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,177,177,208,472.727538785,8.98039434105E-06,473.544608118,0.817078955588,,,,,x,1,0.8004451046,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\ruler02b.jpg,watermelon,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,178,178,238,474.647413868,9.621726349E-06,475.445114514,0.797710588318,,,,,x,1,0.783760257997,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\chameleon.jpg,50 dollar bill,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,179,179,120,476.557428849,8.98027792573E-06,477.495689914,0.938270686311,,,,,x,1,0.917160131503,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lightswitch02a.jpg,fork,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,180,180,177,478.608942375,8.98039434105E-06,479.396185084,0.787252972252,,,,,x,1,0.767099786666,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\marker01a.jpg,marker,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,181,181,95,480.494564804,9.621726349E-06,481.246671578,0.75211639551,,,,,z,1,0.733729772968,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
